yyyy,mm,tmax,tmin,af,rain,sun,whitby
degc,degc,days,mm,hours,whitby
1996,5,11.7,6.1,0,34.9,205.8$,whitby
1996,6,17.4,9.2,0,24.3,218.5$,whitby
1996,7,18.9,11.7,0,12.3,210.8$,whitby
1996,8,18.9,12.6,0,38.9,198.3$,whitby
1996,9,15.6,10.9,0,14.5,91.2$,whitby
1996,10,14.7,8.2,0,19.3,127.7$,whitby
1996,11,8.7,2.6,8,63.9,80.5$,whitby
1996,12,6.2,-0.7,17,66.0,47.4$,whitby
1997,1,6.2,0.2,15,11.1,38.6$,whitby
1997,2,9.5,3.5,2,57.4,107.0$,whitby
1997,3,11.3,4.5,1,12.4,148.4$,whitby
1997,4,11.5,5.3,1,4.8,139.7$,whitby
1997,5,13.6,6.6,0,39.0,214.9$,whitby
1997,6,15.6,10.1,0,124.9,131.9$,whitby
1997,7,18.4,12.3,0,60.8,211.1$,whitby
1997,8,20.3,13.4,0,43.5,199.1$,whitby
1997,9,17.1,9.4,0,10.8,181.5$,whitby
1997,10,13.0,6.8,1,25.2,119.1$,whitby
1997,11,10.7,6.1,0,52.7,60.7$,whitby
1997,12,8.6,4.4,3,81.0,32.0$,whitby
1998,1,7.7,3.1,0,61.7,44.2$,whitby
1998,2,11.5,5.3,0,2.9,98.6$,whitby
1998,3,10.2,3.1,4,47.8,103.6$,whitby
1998,4,10.0,3.6,5,105.2,116.5$,whitby
1998,5,13.8,7.4,0,45.8,173.3$,whitby
1998,6,17.0,10.6,0,65.5,140.5$,whitby
1998,7,18.2,12.3,0,34.2,160.9$,whitby
1998,8,18.2,11.8,0,30.3,186.2$,whitby
1998,9,---,10.3,0,41.5,91.8$,whitby
1998,10,13.1,7.5,0,57.6,126.6$,whitby
1998,11,8.8,3.8,0,69.9,76.4$,whitby
1998,12,8.8,3.1,5,38.7,32.5$,whitby
1999,1,8.4,2.8,4,68.5,60.4$,whitby
1999,2,8.0,1.5,8,31.4,93.5$,whitby
1999,3,10.1,3.7,1,74.1,119.9$,whitby
1999,4,---,---,0,37.6,165.7$,whitby
1999,5,14.5,8.8,0,39.8,187.1$,whitby
1999,6,16.2,10.1,0,62.7,165.8$,whitby
1999,7,20.0,12.9,0,7.8,240.5$,whitby
1999,8,18.6,11.9,0,62.7,173.5$,whitby
1999,9,19.1,11.1,0,53.5,179.8$,whitby
1999,10,13.5,8.1,0,49.6,122.8$,whitby
1999,11,10.5,5.2,0,43.8,49.5$,whitby
1999,12,7.2,1.4,9,37.2,63.0$,whitby
2000,1,8.1,2.9,1,43.5,71.6all,data,from,whitby,whitby
2000,2,9.1,3.1,4,28.8,113.9,whitby
2000,3,10.7,4.0,5,21.5,149.6,whitby
2000,4,11.1,4.4,2,126.2,134.6,whitby
2000,5,14.0,7.2,0,39.0,173.8,whitby
